GAME_ID,OFFICIAL_ID,OFFICIAL_NAME,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON_TYPE,POSTSEASON_STAGE,POSTSEASON_SEASON_TYPE,SPECIAL_SITE
0022100088,1179,Rodney Mott,Rodney,Mott,71,Regular Season,Regular Season,Regular Season,0
0022100088,1627964,Jonathan Sterling,Jonathan,Sterling,17,Regular Season,Regular Season,Regular Season,0
0022100089,2002,Derrick Collins,Derrick,Collins,11,Regular Season,Regular Season,Regular Season,0
0022100089,2003,Pat Fraher,Pat,Fraher,26,Regular Season,Regular Season,Regular Season,0
0022100089,1628159,Mousa Dagher,Mousa,Dagher,28,Regular Season,Regular Season,Regular Season,0
0022100090,1148,James Capers,James,Capers,19,Regular Season,Regular Season,Regular Season,0
0022100090,203592,Dedric Taylor,Dedric,Taylor,21,Regular Season,Regular Season,Regular Season,0
0022100090,1627519,John Conley,John,Conley,79,Regular Season,Regular Season,Regular Season,0
0022100091,1162,Scott Foster,Scott,Foster,48,Regular Season,Regular Season,Regular Season,0
0022100091,1201,Leon Wood,Leon,Wood,40,Regular Season,Regular Season,Regular Season,0
0022100091,202035,Brett Nansel,Brett,Nansel,44,Regular Season,Regular Season,Regular Season,0
0022100092,200834,Mark Lindsay,Mark,Lindsay,29,Regular Season,Regular Season,Regular Season,0
0022100092,202053,Scott Twardoski,Scott,Twardoski,52,Regular Season,Regular Season,Regular Season,0
0022100092,1626302,Aaron Smith,Aaron,Smith,51,Regular Season,Regular Season,Regular Season,0
0022100093,2004,Courtney Kirkland,Courtney,Kirkland,61,Regular Season,Regular Season,Regular Season,0
0022100093,200833,Eric Dalen,Eric,Dalen,37,Regular Season,Regular Season,Regular Season,0
0022100093,1627524,Nate Green,Nate,Green,65,Regular Season,Regular Season,Regular Season,0
0022100094,2003,Pat Fraher,Pat,Fraher,26,Regular Season,Regular Season,Regular Season,0
0022100094,202007,Nick Buchert,Nick,Buchert,3,Regular Season,Regular Season,Regular Season,0
0022100094,1628171,Brandon Schwab,Brandon,Schwab,86,Regular Season,Regular Season,Regular Season,0
0022100095,2714,David Guthrie,David,Guthrie,16,Regular Season,Regular Season,Regular Season,0
0022100095,1627962,Jacyn Goble,Jacyn,Goble,68,Regular Season,Regular Season,Regular Season,0
0022100095,1628487,Danielle Scott,Danielle,Scott,87,Regular Season,Regular Season,Regular Season,0
